num_tries,boost_used,attack_duration,score,character_type,hitpoints
140.0,0.0,30.0,3603.6745407,2,2109
26.0,1.0,11.0,4593.4065934,0,2289
63.0,1.0,16.0,4021.6049382,1,1108
49.0,1.0,25.0,3982.6086957,0,2866
26.0,1.0,12.0,3920.2453988,1,1992
14.0,1.0,39.0,1698.1132076,3,1415
59.0,1.0,24.0,2713.0681818,0,931
111.0,1.0,19.0,4107.2961373,0,2230
119.0,1.0,17.0,3562.264151,2,1401
33.0,1.0,24.0,3092.6829269,1,2713
176.0,0.0,26.0,3931.1783107,1,1278
183.0,1.0,29.0,3063.4674923,1,1992
197.0,1.0,34.0,2347.0690656,3,1415
190.0,0.0,44.0,2506.9444445,0,2248
18.0,1.0,18.0,2893.2038835,2,2299
49.0,1.0,29.0,2917.8082192,0,1282
150.0,1.0,16.0,2906.2170706,0,2256
274.0,0.0,42.0,4484.257871,3,2677
221.0,1.0,27.0,3225.3989362,2,2622
79.0,0.0,39.0,3366.8122271,3,1818
131.0,0.0,17.0,2524.8091603,0,2539
16.0,0.0,37.0,3058.1395349,2,2109
112.0,1.0,45.0,3595.1359084,2,1297
66.0,0.0,32.0,2954.8532731,3,1926
56.0,0.0,15.0,4011.1420613,2,713
269.0,0.0,12.0,3573.8444194,3,2205
75.0,0.0,23.0,3455.142232,2,1475
23.0,0.0,21.0,4107.1428572,0,2289
185.0,1.0,15.0,3966.4921466,1,2298
181.0,0.0,25.0,3473.2229795,3,1837
107.0,1.0,42.0,3559.2920354,1,1260
90.0,1.0,32.0,3764.9122807,3,2677
146.0,0.0,42.0,2821.3457077,1,1260
551.0,1.0,47.0,4958.8834402,2,1297
84.0,0.0,36.0,3021.6998192,1,1278
165.0,0.0,24.0,4065.0289018,0,754
100.0,0.0,36.0,3696.6292135,2,1902
52.0,0.0,37.0,3109.7922848,1,1992
354.0,0.0,33.0,3311.1767602,3,2677
106.0,0.0,42.0,4161.849711,1,1339
33.0,1.0,36.0,2536.4963504,3,1415
42.0,0.0,34.0,4981.5668202,1,788
1690.0,0.0,43.0,3241.4889637,2,2109
49.0,1.0,44.0,3744.8275862,2,2770
68.0,0.0,29.0,2915.8110883,0,2572
26.0,0.0,46.0,2483.8709677,2,1902
356.0,0.0,41.0,2814.9853495,0,2230
200.0,0.0,33.0,2763.5087719,0,2557
124.0,0.0,15.0,3448.4304933,0,1043
160.0,1.0,10.0,3565.2920962,0,2258
130.0,1.0,45.0,2489.017341,0,2612
202.0,0.0,31.0,3681.7800168,1,1339
24.0,1.0,11.0,3486.9565217,0,2289
145.0,0.0,49.0,3340.0605449,3,1837
71.0,0.0,37.0,2274.5098039,1,2713
22.0,0.0,27.0,3768.5950413,1,1339
99.0,0.0,43.0,4987.2340425,0,2230
82.0,1.0,38.0,2231.9444444,3,1415
202.0,0.0,13.0,3730.8377897,3,643
104.0,1.0,29.0,4715.4742096,1,2298
466.0,1.0,42.0,4186.3475872,1,1339
361.0,1.0,15.0,3241.5477085,2,713
163.0,1.0,24.0,3035.3798127,1,1786
26.0,0.0,42.0,4248.5549133,3,2101
71.0,0.0,45.0,3473.0878187,1,1202
117.0,0.0,11.0,3564.5933014,0,2289
67.0,1.0,13.0,3392.4349882,0,1282
572.0,1.0,18.0,3259.5177665,0,1043
111.0,0.0,27.0,3373.5849056,0,931
145.0,1.0,48.0,4034.7912525,3,1837
47.0,0.0,40.0,3354.3859649,0,2826
202.0,0.0,34.0,2356.5945569,1,2713
149.0,0.0,21.0,2151.9861831,0,2248
85.0,0.0,25.0,3263.5658914,0,1043
260.0,0.0,17.0,3140.311804,0,931
255.0,1.0,43.0,2229.338843,0,2612
141.0,0.0,20.0,3870.8487085,1,1996
210.0,1.0,31.0,3025.0,1,1786
140.0,0.0,19.0,2921.8921892,0,2539
61.0,0.0,48.0,3193.7172775,3,1225
20.0,0.0,34.0,5231.7073171,3,1818
215.0,0.0,49.0,3312.849162,1,1992
15.0,1.0,36.0,2560.0,0,2826
446.0,0.0,10.0,5504.9019608,0,2735
173.0,1.0,46.0,5004.914005,2,1428
59.0,1.0,41.0,3742.8571429,0,2289
40.0,0.0,35.0,2675.1412429,0,2185
138.0,0.0,35.0,2392.631579,0,2557
637.0,0.0,41.0,3895.9537572,2,713
225.0,1.0,11.0,3383.5616438,2,2058
77.0,1.0,16.0,4412.4087592,2,2058
63.0,1.0,16.0,3231.1827957,3,963
155.0,1.0,49.0,2471.4095745,3,1225
164.0,1.0,17.0,3584.3621399,0,2289
35.0,0.0,41.0,3876.7123288,0,1322
208.0,1.0,48.0,5642.5269646,2,2058
275.0,0.0,47.0,3870.3465982,3,2677
1257.0,1.0,47.0,3126.8412438,0,1282
37.0,1.0,18.0,2776.5567766,1,2091
18.0,1.0,27.0,2377.3584906,1,1932
296.0,0.0,15.0,3356.0732113,0,2557
50.0,1.0,19.0,5710.2803738,0,2557
100.0,1.0,44.0,3650.9433962,2,1929
187.0,1.0,38.0,3509.3632959,2,1428
161.0,0.0,18.0,3152.7777777,2,2109
126.0,0.0,36.0,3161.2057667,2,2109
246.0,0.0,35.0,2789.8550725,0,2557
129.0,1.0,29.0,3237.0160529,1,697
17.0,1.0,19.0,3880.7339449,1,788
35.0,0.0,16.0,2451.9230769,1,788
566.0,1.0,10.0,4456.0896278,1,1339
162.0,0.0,36.0,4145.7174638,1,1996
117.0,0.0,28.0,4250.0,2,2058
16.0,0.0,22.0,2428.5714286,0,2406
169.0,0.0,44.0,3120.3138623,2,2848
43.0,0.0,41.0,3427.3858921,3,1818
124.0,0.0,49.0,3071.0144928,2,2109
80.0,1.0,26.0,2017.3410405,0,2248
175.0,0.0,44.0,2279.4906166,1,1899
93.0,0.0,45.0,3527.1028038,0,2557
75.0,1.0,34.0,4897.4358974,2,2058
464.0,1.0,41.0,4297.1745712,3,1818
125.0,0.0,45.0,6384.6153846,1,1313
274.0,0.0,17.0,2814.3839239,0,2539
162.0,0.0,43.0,3724.9466951,3,1837
71.0,1.0,27.0,1969.2874693,3,1415
253.0,0.0,47.0,4125.3665689,3,2677
29.0,1.0,25.0,1891.6408669,3,1074
13.0,0.0,10.0,4183.3333333,1,1614
604.0,1.0,23.0,3214.5030426,1,2091
132.0,0.0,29.0,2417.0168067,2,1028
65.0,1.0,10.0,4033.9506173,1,1339
477.0,0.0,36.0,3421.8669417,2,2058
143.0,1.0,13.0,2598.3690112,1,1260
41.0,0.0,17.0,3356.3218391,2,1475
64.0,0.0,45.0,3098.5130112,0,2539
191.0,1.0,48.0,3654.8956661,3,2205
129.0,0.0,11.0,3294.117647,1,1633
193.0,1.0,39.0,3870.2702703,2,713
199.0,1.0,21.0,3292.3976608,0,1084
383.0,1.0,17.0,2941.3153457,3,2205
600.0,0.0,48.0,2268.7101911,0,2248
125.0,1.0,20.0,2966.5327979,0,2557
64.0,1.0,37.0,2618.705036,2,1902
63.0,0.0,48.0,2373.5177865,3,1248
319.0,1.0,28.0,2389.2801252,0,900
138.0,0.0,22.0,2849.7354497,0,2248
105.0,0.0,17.0,4756.3352827,3,1837
64.0,1.0,42.0,4526.0115607,3,1837
49.0,0.0,36.0,2167.0103093,1,2091
22.0,1.0,23.0,5857.1428572,2,1428
19.0,0.0,11.0,6879.3103447,2,2591
70.0,1.0,28.0,4433.0218069,1,1313
178.0,0.0,35.0,4205.3675612,0,1084
264.0,1.0,41.0,5036.0706063,3,2677
27.0,1.0,35.0,3701.2987013,1,1786
28.0,1.0,12.0,3064.9350649,0,2866
459.0,1.0,45.0,4063.9887903,0,2289
304.0,0.0,47.0,2426.0330578,0,2248
233.0,1.0,32.0,4871.6075157,3,1926
241.0,1.0,33.0,2534.6985211,2,1902
12.0,0.0,10.0,4257.1428572,2,1428
13.0,1.0,11.0,3822.5806452,0,2866
937.0,1.0,48.0,3187.7138182,3,643
93.0,1.0,29.0,4200.0,1,1313
458.0,1.0,32.0,2930.6296691,0,2248
175.0,1.0,12.0,4836.506159,1,2298
188.0,1.0,13.0,3019.8255353,2,2622
92.0,0.0,37.0,3792.2374429,2,2058
240.0,0.0,12.0,3321.7054264,2,713
246.0,0.0,15.0,4161.5875266,3,1837
67.0,0.0,21.0,3217.4796748,2,2622
33.0,0.0,14.0,3143.5643565,2,2217
295.0,0.0,36.0,3039.1897842,3,1415
25.0,1.0,39.0,4791.6666667,0,2230
179.0,0.0,14.0,3008.7032202,2,2591
286.0,0.0,10.0,4068.7066975,2,1297
100.0,0.0,44.0,4177.9141104,1,1996
293.0,1.0,22.0,4984.6153845,2,2058
130.0,0.0,31.0,4902.8340081,2,2591
50.0,0.0,35.0,3008.9820359,1,2081
363.0,1.0,23.0,3659.7938144,1,1370
49.0,1.0,25.0,2955.1122194,3,1837
139.0,0.0,26.0,4697.1235194,2,2591
41.0,1.0,15.0,4987.1794871,1,2298
134.0,0.0,22.0,3220.5882353,0,2406
85.0,1.0,26.0,5074.074074,1,1339
203.0,0.0,46.0,3999.1452992,0,931
135.0,1.0,32.0,1936.5217391,1,1932
236.0,1.0,25.0,2468.1844717,2,2109
84.0,1.0,23.0,4490.1531728,2,713
556.0,0.0,40.0,7455.1214362,3,2677
167.0,0.0,41.0,6386.6666666,3,1837
173.0,0.0,44.0,2260.6096832,2,2622
255.0,0.0,27.0,2373.8949558,3,563
52.0,0.0,21.0,3947.6744186,0,1579
33.0,0.0,14.0,8219.512195,3,1818
52.0,1.0,12.0,3010.5263158,1,2713
109.0,1.0,28.0,3461.361015,2,1428
31.0,0.0,11.0,4547.2972973,0,931
194.0,1.0,25.0,2546.3029433,1,1786
24.0,0.0,21.0,7567.5675677,0,1084
300.0,0.0,38.0,3540.8229915,0,2557
135.0,1.0,28.0,5329.6178343,2,1297
129.0,0.0,21.0,3003.6101083,3,1837
135.0,0.0,18.0,2659.0126291,0,2612
239.0,1.0,48.0,3039.2832529,2,1320
1585.0,0.0,38.0,3736.8298096,0,2572
88.0,0.0,20.0,3940.5737705,1,2091
281.0,1.0,44.0,3590.0,3,2677
106.0,0.0,46.0,2454.5454545,0,2248
172.0,1.0,21.0,4566.3824604,2,713
31.0,0.0,48.0,1749.1039427,2,707
249.0,0.0,43.0,3435.1042367,1,1339
135.0,1.0,22.0,2370.2325581,1,2091
101.0,1.0,33.0,5188.5245902,3,1837
51.0,0.0,11.0,4290.9836065,3,1926
74.0,1.0,14.0,3163.3064516,1,1339
124.0,1.0,34.0,3500.7776049,1,788
271.0,0.0,19.0,3472.2955145,1,1786
584.0,1.0,23.0,2143.9776887,3,1415
79.0,0.0,32.0,2734.6938776,1,1633
251.0,1.0,25.0,2384.0284842,2,2848
109.0,0.0,35.0,2994.4751381,2,2058
212.0,1.0,28.0,4733.2667333,3,2677
241.0,1.0,32.0,3185.4026846,1,1614
306.0,0.0,28.0,3862.1481907,3,2677
316.0,0.0,13.0,4153.6614646,3,2677
438.0,0.0,33.0,6735.1413733,3,2677
37.0,0.0,34.0,3469.8795181,1,1171
94.0,1.0,36.0,3278.4380306,3,1818
13.0,0.0,43.0,4222.2222222,0,2248
18.0,1.0,17.0,4021.0526316,1,2298
136.0,0.0,10.0,4109.0909091,1,1313
240.0,0.0,31.0,4976.9707706,2,713
30.0,0.0,37.0,3548.7179487,2,2848
82.0,0.0,30.0,2212.5,2,1339
23.0,1.0,35.0,4145.6310679,2,1475
409.0,1.0,26.0,3852.7777777,3,2677
174.0,1.0,30.0,3430.4812834,0,923
183.0,1.0,47.0,7217.1136654,2,1297
409.0,1.0,34.0,3119.8877305,0,2248
65.0,1.0,26.0,2661.0526316,3,2121
207.0,0.0,45.0,5832.3353294,0,2230
178.0,0.0,32.0,5554.2035398,2,1297
58.0,0.0,23.0,4498.349835,0,2735
404.0,0.0,24.0,3628.0112045,0,2289
255.0,0.0,11.0,2818.8529245,3,2101
475.0,1.0,14.0,5413.1807419,2,1297
38.0,0.0,24.0,3413.1736527,0,2289
153.0,0.0,43.0,2791.2663756,1,1786
327.0,0.0,26.0,2930.8855291,2,2622
376.0,1.0,35.0,1910.6056599,1,1169
360.0,1.0,32.0,2330.1196808,0,2539
126.0,1.0,10.0,3626.0869565,0,2557
304.0,1.0,39.0,4056.7044697,3,2677
1238.0,1.0,25.0,2771.2559344,2,2915
627.0,0.0,22.0,3956.8147014,1,1260
65.0,0.0,31.0,2905.2863436,0,2406
146.0,1.0,30.0,2028.0095352,3,1415
79.0,1.0,29.0,3558.5585585,0,2557
546.0,1.0,17.0,3506.4782097,0,2919
94.0,1.0,21.0,3679.5665635,2,1428
202.0,0.0,13.0,2772.669221,2,713
214.0,1.0,16.0,3870.4883227,3,2677
174.0,1.0,17.0,2440.0352734,3,563
10.0,0.0,26.0,4216.6666667,3,963
185.0,0.0,17.0,3579.1738382,0,729
91.0,0.0,11.0,3084.7750865,2,2622
26.0,0.0,38.0,4240.0,3,2121
21.0,1.0,36.0,3083.9160839,0,2671
54.0,0.0,11.0,4018.8087774,3,2677
43.0,0.0,12.0,4243.6363637,2,1475
334.0,0.0,11.0,2584.1733871,1,1370
283.0,0.0,42.0,3241.3612565,0,2866
25.0,1.0,39.0,2953.9473684,3,1926
101.0,1.0,16.0,3341.5841584,0,2248
125.0,0.0,30.0,3559.0361446,0,2557
54.0,0.0,36.0,3426.6666666,0,2557
140.0,1.0,27.0,3104.1237113,0,2557
301.0,0.0,45.0,4514.8423006,2,2058
152.0,0.0,46.0,2353.4621578,0,1975
42.0,0.0,26.0,3184.8341232,1,1786
40.0,1.0,17.0,3429.2682927,0,2557
49.0,0.0,19.0,5342.8571429,3,567
46.0,0.0,23.0,3009.8039216,2,1902
574.0,1.0,20.0,1980.5161511,3,1415
78.0,0.0,11.0,2900.3267974,3,1837
81.0,0.0,40.0,3212.0253165,2,713
116.0,0.0,19.0,4083.4845735,2,2109
60.0,0.0,32.0,2814.3564357,3,2205
62.0,1.0,41.0,3020.6185567,3,628
125.0,1.0,32.0,6001.6949153,2,713
81.0,1.0,39.0,2281.2006319,3,1248
165.0,0.0,38.0,2025.5701451,3,1248
324.0,0.0,23.0,3054.663992,0,2557
78.0,1.0,49.0,4325.4716981,0,2557
6.0,0.0,43.0,2155.1724138,2,1297
74.0,0.0,27.0,2904.5801527,0,2557
13.0,1.0,44.0,2322.5806451,0,900
328.0,0.0,20.0,3713.0653267,0,2230
406.0,1.0,30.0,4360.1895734,1,1313
441.0,0.0,31.0,3721.299894,3,2677
293.0,1.0,27.0,4535.5348169,3,1837
94.0,1.0,22.0,3097.359736,3,1818
167.0,1.0,13.0,6703.030303,2,1475
67.0,0.0,41.0,3463.4703196,2,1297
103.0,0.0,49.0,4342.8571429,0,1084
246.0,0.0,29.0,2544.1014333,3,1248
211.0,0.0,11.0,3510.4333869,1,2081
135.0,1.0,33.0,4912.9287599,2,713
106.0,0.0,30.0,2282.0512821,1,1370
544.0,0.0,42.0,2211.6788321,0,2248
190.0,0.0,46.0,3511.8525022,1,1996
34.0,0.0,44.0,3813.6363636,2,1297
59.0,0.0,27.0,1555.0239234,3,628
111.0,0.0,24.0,2591.7001339,3,567
227.0,1.0,46.0,2181.7667044,0,1975
35.0,1.0,12.0,3026.7857143,2,2915
91.0,1.0,26.0,3323.0490018,0,2572
279.0,0.0,41.0,3339.6472894,0,1084
941.0,0.0,11.0,2507.4773229,3,1415
162.0,1.0,28.0,3639.6866841,2,2591
320.0,0.0,40.0,4666.9310071,0,2289
12.0,1.0,35.0,1557.5221239,0,900
363.0,1.0,35.0,3566.6996047,2,1401
375.0,0.0,10.0,3383.4218048,3,2205
182.0,0.0,16.0,3511.342155,3,1837
147.0,1.0,28.0,1852.6422764,2,1274
104.0,0.0,32.0,3880.5147059,2,1406
144.0,0.0,42.0,3969.9140401,2,2109
64.0,1.0,24.0,3064.2857143,1,1633
72.0,0.0,28.0,3146.2264151,2,2109
336.0,0.0,38.0,2949.9793303,0,2557
162.0,0.0,30.0,2907.554672,0,2248
139.0,1.0,11.0,4732.183908,3,2029
118.0,1.0,17.0,5229.5373666,1,1108
46.0,1.0,11.0,1403.9408867,0,2919
24.0,0.0,10.0,4866.0714285,3,1538
151.0,1.0,48.0,3153.6458334,3,1818
246.0,0.0,39.0,8803.1088082,0,1043
182.0,0.0,42.0,3199.5094031,0,2248
133.0,1.0,46.0,3085.0,3,2101
167.0,1.0,46.0,2774.8167888,3,1074
169.0,1.0,18.0,6914.1193595,0,2735
144.0,0.0,25.0,3451.2448133,3,1837
156.0,0.0,49.0,3188.9699919,2,1428
80.0,0.0,18.0,2267.7725118,3,1415
93.0,0.0,23.0,3688.3116883,1,2298
243.0,0.0,31.0,3198.1079577,2,713
36.0,0.0,41.0,3515.4185022,0,2406
150.0,0.0,38.0,3473.4774067,0,2230
83.0,1.0,42.0,2791.6666667,3,2677
306.0,1.0,41.0,2763.8164755,0,2248
79.0,1.0,25.0,3498.6522911,2,2591
228.0,0.0,19.0,1830.2626421,0,2612
33.0,0.0,49.0,3674.2857143,1,2081
172.0,1.0,36.0,3622.2961731,2,713
219.0,0.0,23.0,2765.2548457,0,2406
70.0,0.0,28.0,2975.5434783,0,931
234.0,0.0,24.0,3300.7092199,1,1786
197.0,0.0,31.0,2784.6153846,0,2406
57.0,1.0,10.0,3146.4019851,3,1415
304.0,0.0,49.0,3983.8783971,2,1297
177.0,0.0,18.0,2681.6037736,0,2826
266.0,1.0,38.0,3262.0176032,0,931
140.0,0.0,12.0,3407.5067024,1,2713
34.0,0.0,28.0,4554.9450549,2,1428
89.0,0.0,49.0,3330.2752293,1,2091
43.0,1.0,16.0,3547.6190476,0,2572
240.0,1.0,21.0,3448.196909,1,2298
127.0,1.0,13.0,2809.5712861,2,2622
56.0,1.0,49.0,3946.3601533,1,788
277.0,1.0,43.0,2018.0722892,3,1415
144.0,0.0,40.0,5311.9469026,2,2591
347.0,0.0,11.0,2592.4967658,2,1459
51.0,1.0,23.0,2660.1941748,2,2109
45.0,0.0,12.0,3050.955414,1,1992
189.0,1.0,23.0,4011.4566285,1,2298
230.0,0.0,31.0,5917.4147217,2,713
142.0,0.0,23.0,4507.8260869,1,1313
122.0,0.0,45.0,3158.7926509,3,1926
30.0,1.0,23.0,5493.2432433,0,2735
268.0,0.0,33.0,4435.3680431,0,931
76.0,0.0,30.0,2114.6788991,2,1028
50.0,1.0,16.0,4116.9811321,1,1996
119.0,1.0,37.0,6878.7878788,1,1440
44.0,1.0,35.0,3797.8142077,1,788
153.0,1.0,34.0,3411.4994363,1,1786
50.0,1.0,48.0,2723.7163814,2,2622
61.0,0.0,45.0,3458.4717608,0,2289
122.0,1.0,11.0,3276.1394102,3,2677
311.0,0.0,16.0,3983.7837838,3,2677
167.0,1.0,33.0,3052.3465704,3,2205
94.0,1.0,46.0,3529.4117647,1,1370
308.0,1.0,26.0,4259.4982079,0,2289
108.0,1.0,31.0,3831.496063,1,1899
910.0,1.0,33.0,4058.995065,2,2591
96.0,0.0,42.0,4157.4539363,1,1440
59.0,1.0,32.0,3536.0824742,3,2101
213.0,1.0,35.0,4324.9211356,3,1837
36.0,1.0,41.0,3182.9268293,3,1538
71.0,0.0,29.0,4079.4520548,1,1786
77.0,1.0,19.0,3220.4081633,1,1260
245.0,1.0,17.0,3102.764977,3,1074
369.0,1.0,41.0,5582.4031517,2,1297
255.0,0.0,37.0,2989.4319683,1,1339
155.0,1.0,49.0,3131.7122594,0,931
181.0,1.0,30.0,2926.5578635,3,2205
1008.0,1.0,41.0,3041.908882,3,1415
236.0,1.0,42.0,3064.5539906,2,1475
124.0,1.0,49.0,3038.1791483,1,1992
33.0,0.0,12.0,3542.2885572,0,923
108.0,1.0,38.0,4049.2359932,1,2298
94.0,1.0,22.0,3036.3636364,1,1440
185.0,0.0,23.0,2731.4814815,2,2058
14.0,0.0,47.0,4146.3414634,3,2121
122.0,1.0,16.0,4897.2809668,3,1837
63.0,0.0,11.0,3686.9918699,2,2058
66.0,0.0,46.0,3469.0618762,1,2298
251.0,0.0,44.0,2318.4949655,2,707
15.0,0.0,15.0,3051.5463917,1,1633
83.0,1.0,42.0,3752.4752475,0,923
175.0,0.0,23.0,3702.7863777,1,2298
206.0,0.0,24.0,2216.0714286,0,2248
175.0,1.0,47.0,2371.9055843,0,2557
425.0,0.0,47.0,3575.8077879,0,2557
199.0,1.0,35.0,1530.0771208,1,1932
149.0,0.0,14.0,3773.4457323,0,2557
318.0,0.0,10.0,3168.5284119,3,2677
157.0,0.0,25.0,2929.6160878,1,1992
19.0,0.0,11.0,2602.8368794,0,2557
339.0,0.0,41.0,4119.1652938,0,2557
312.0,1.0,22.0,3819.515774,0,2965
157.0,0.0,41.0,2871.627907,0,2539
100.0,0.0,20.0,3908.7378641,3,963
64.0,1.0,36.0,4096.8858131,3,2313
175.0,0.0,14.0,3005.8236273,1,1899
114.0,1.0,41.0,2455.6074766,0,900
13.0,1.0,20.0,1981.4814815,3,563
79.0,0.0,31.0,5319.5121951,3,2677
301.0,1.0,35.0,4155.8544303,0,1084
246.0,0.0,31.0,3697.368421,2,1902
500.0,0.0,46.0,4056.8335589,3,2677
157.0,0.0,42.0,3581.2441968,2,713
235.0,0.0,13.0,2782.0015516,1,1260
242.0,1.0,43.0,5776.7857143,2,2058
114.0,1.0,48.0,4989.5366219,1,2298
88.0,0.0,49.0,2781.4029364,1,1992
360.0,1.0,18.0,5549.9219969,1,1339
90.0,0.0,30.0,3328.4789644,0,2539
63.0,1.0,28.0,3843.6781609,3,1415
70.0,0.0,38.0,4961.7834395,2,2109
105.0,1.0,32.0,3295.9770115,1,1992
119.0,0.0,45.0,4401.7391304,3,1818
177.0,1.0,35.0,2745.6896552,0,2248
210.0,1.0,35.0,2400.0,1,1260
29.0,1.0,22.0,2090.9090909,1,1633
294.0,1.0,40.0,2845.683728,3,1074
264.0,0.0,12.0,4981.1827957,1,2298
335.0,0.0,26.0,3801.8312623,0,2289
194.0,1.0,39.0,2053.5194881,0,2248
128.0,0.0,31.0,3368.6534216,3,2121
169.0,0.0,31.0,4801.5037594,0,1084
581.0,0.0,28.0,3289.5293495,3,2677
159.0,1.0,14.0,4203.8073908,3,1837
28.0,1.0,19.0,3336.2831859,2,1297
80.0,1.0,14.0,2619.1198786,1,1786
258.0,0.0,18.0,2815.7894737,0,2406
234.0,0.0,14.0,2787.4924104,3,648
238.0,0.0,35.0,4310.3764922,0,1084
21.0,0.0,30.0,4625.0,3,2101
239.0,0.0,35.0,3465.9498208,0,2846
517.0,1.0,12.0,3358.2746479,3,2677
255.0,0.0,42.0,2510.5204872,0,2248
176.0,1.0,36.0,4221.5657312,2,1929
228.0,1.0,29.0,3829.9473288,2,1297
226.0,0.0,19.0,3843.5700576,0,931
263.0,1.0,45.0,3158.2928147,0,2557
316.0,0.0,28.0,4678.0786919,2,713
128.0,0.0,10.0,6117.6470588,0,2230
64.0,0.0,19.0,2893.1818182,1,1370
92.0,1.0,41.0,4804.670913,2,1297
188.0,1.0,30.0,4151.2690356,2,1902
340.0,0.0,46.0,4024.5218244,2,713
323.0,1.0,49.0,3730.2345786,2,1297
440.0,1.0,19.0,4493.6350778,0,1084
215.0,0.0,14.0,3223.0102443,0,2289
47.0,1.0,35.0,3091.5254237,1,2091
197.0,1.0,40.0,2941.4012739,0,2185
211.0,1.0,48.0,2990.0,3,643
143.0,0.0,15.0,2328.3842795,1,1786
1486.0,1.0,39.0,3101.1904762,3,2205
68.0,0.0,11.0,3781.4070352,0,1579
81.0,0.0,26.0,5264.1975309,0,2557
265.0,1.0,23.0,7249.7687327,2,1297
49.0,0.0,34.0,3516.5745857,2,1902
7.0,1.0,42.0,2740.7407407,2,713
86.0,0.0,40.0,3513.1845842,0,2539
323.0,1.0,40.0,4669.8060942,2,1297
19.0,0.0,47.0,2860.1398601,2,601
98.0,0.0,33.0,2888.3495145,0,2230
163.0,0.0,11.0,2801.3411568,1,1633
169.0,0.0,12.0,3200.3023431,1,788
99.0,0.0,22.0,3760.3960396,3,567
1151.0,1.0,20.0,2974.5012269,2,1902
163.0,1.0,27.0,2532.1100917,3,1415
489.0,1.0,13.0,3584.9212924,2,1339
31.0,1.0,22.0,1974.0740741,0,2612
77.0,0.0,31.0,3026.2664165,0,2557
381.0,0.0,32.0,3409.1726619,0,2230
20.0,0.0,38.0,2601.1904762,0,900
163.0,1.0,28.0,4181.430096,3,2677
