user_id,character_id,user_character_id,num_tries,boost_used,attack_duration,score
11,26,11_26,198,1,42,2132.8413284
11,51,11_51,197,1,24,3055.2523874
12,74,12_74,620,0,38,4649.3333334
12,91,12_91,463,0,49,2913.4358289
12,86,12_86,393,1,14,3065.4890134
12,107,12_107,327,0,18,3454.9665466
12,14,12_14,261,0,41,3270.9973753
12,16,12_16,256,1,27,3206.5289807
12,87,12_87,248,1,35,3366.6201117
12,7,12_7,238,1,45,3433.8129496
12,11,12_11,218,1,15,3692.893401
13,65,13_65,665,1,35,6206.2228655
13,6,13_6,242,0,29,4144.6327684
13,120,13_120,183,0,23,4196.0556844
13,61,13_61,136,0,28,3474.9034749
13,1,13_1,135,0,48,5455.9193955
13,44,13_44,131,0,25,4036.4238411
13,53,13_53,129,1,49,3425.5319149
13,4,13_4,116,1,16,4551.6666667
13,104,13_104,109,0,12,3472.0
14,110,14_110,1594,1,12,4749.3699596
14,61,14_61,546,1,26,3544.973545
14,93,14_93,422,0,43,4276.5151515
14,69,14_69,248,1,40,4476.9736842
14,107,14_107,233,1,24,3006.5398335
14,62,14_62,186,1,48,3176.5175719
14,23,14_23,176,1,32,3573.4840699
14,101,14_101,175,0,43,3269.8019802
14,88,14_88,168,1,28,2737.6910017
16,106,16_106,307,0,15,3830.1886792
16,17,16_17,293,1,16,3073.6887733
16,8,16_8,280,0,24,3225.1572327
16,7,16_7,241,0,22,2716.4730729
16,1,16_1,237,1,16,3326.8416596
16,86,16_86,237,0,22,1980.3094234
16,93,16_93,197,1,22,3298.0842912
16,39,16_39,189,0,26,3310.8206246
16,26,16_26,172,1,42,1892.7680798
17,23,17_23,2306,1,18,4310.6503785
17,17,17_17,503,1,40,4504.6347794
17,74,17_74,256,0,11,3618.4593023
17,104,17_104,163,0,38,3074.7663552
17,2,17_2,147,0,42,2740.5978785
17,11,17_11,137,1,42,3351.2450852
17,106,17_106,126,1,47,5158.172232
17,36,17_36,112,1,37,3960.8482871
17,14,17_14,111,0,10,2892.3766816
18,73,18_73,766,0,11,3636.47343
18,34,18_34,759,1,39,4432.6092035
18,106,18_106,730,0,31,4776.6640966
18,76,18_76,315,0,24,3589.2461197
18,98,18_98,314,1,39,4060.0974553
18,10,18_10,304,0,15,4848.9326765
18,1,18_1,261,1,33,3543.5203094
18,39,18_39,188,0,21,3495.697074
18,109,18_109,147,1,14,3739.3850659
20,8,20_8,113,1,46,4204.778157
20,77,20_77,78,0,15,4592.1052632
20,44,20_44,75,0,23,3455.142232
20,94,20_94,47,0,46,4349.4623656
20,11,20_11,39,1,21,2433.3333333
20,41,20_41,37,0,18,4741.9354839
20,9,20_9,29,1,45,2969.8275862
20,106,20_106,28,1,19,3336.2831859
20,114,20_114,27,1,12,3516.6666666
22,74,22_74,614,0,40,3710.1664685
22,14,22_14,358,0,23,2396.2488836
22,76,22_76,331,1,19,3126.3001486
22,93,22_93,318,0,27,3591.8598078
22,1,22_1,266,0,46,3174.2043551
22,106,22_106,259,0,43,4031.2292359
22,17,22_17,203,0,27,3687.3977087
22,46,22_46,196,1,30,2997.3427812
22,98,22_98,196,0,46,2911.3636363
23,92,23_92,283,0,40,4664.2857143
23,66,23_66,242,0,32,3899.3135012
23,54,23_54,183,1,40,5726.4653642
23,58,23_58,166,0,27,4975.4601227
23,80,23_80,165,0,43,5488.7892377
23,52,23_52,160,0,21,4436.2745098
23,8,23_8,151,0,35,6263.3928572
23,64,23_64,140,0,12,3407.5067024
23,20,23_20,131,0,18,4217.7914111
24,107,24_107,449,1,44,3318.1660298
24,114,24_114,316,1,19,3959.1419816
24,74,24_74,261,1,31,3772.4137931
24,93,24_93,202,0,31,3681.7800168
24,54,24_54,194,0,36,4248.8738739
24,95,24_95,183,1,37,3719.9230029
24,14,24_14,173,0,49,2785.4315123
24,34,24_34,163,1,22,4155.3637485
24,101,24_101,157,0,18,2933.706816
25,10,25_10,179,1,12,7433.3333333
25,36,25_36,117,0,26,3470.0636943
25,1,25_1,105,1,42,5866.2790698
25,93,25_93,67,1,22,5477.5086506
25,11,25_11,67,0,29,5070.652174
25,63,25_63,62,0,16,6493.9271256
25,95,25_95,62,0,42,4945.054945
25,48,25_48,58,1,28,5330.6122449
25,18,25_18,55,0,42,3944.8529411
26,61,26_61,184,0,31,5549.4880546
26,82,26_82,116,1,16,4504.5207957
26,14,26_14,113,0,12,2607.6210093
26,25,26_25,72,1,47,2136.4238411
26,45,26_45,54,1,27,3774.3902439
26,103,26_103,45,1,41,2940.9937888
26,65,26_65,44,1,19,3542.7631579
26,39,26_39,42,1,44,2394.8863636
26,114,26_114,42,1,26,4372.4696356
27,106,27_106,251,0,35,4397.6945245
27,74,27_74,190,1,11,3392.5863521
27,40,27_40,168,1,22,3347.2222222
27,11,27_11,162,1,37,2887.4172186
27,8,27_8,153,1,14,3097.7881257
27,41,27_41,141,0,35,3573.5294118
27,93,27_93,139,1,45,3343.3029909
27,39,27_39,137,0,32,4270.4811444
27,76,27_76,131,1,32,3276.8211921
28,62,28_62,334,0,17,3529.8885512
28,14,28_14,207,1,32,2532.2391559
28,100,28_100,150,1,37,3221.7936355
28,51,28_51,122,1,42,3457.4742268
28,2,28_2,120,0,34,3111.4167813
28,93,28_93,115,1,14,4602.1276596
28,107,28_107,112,1,29,2827.8787879
28,52,28_52,108,0,36,3569.2307692
28,86,28_86,106,0,46,2454.5454545
29,93,29_93,192,1,13,4878.3269962
29,74,29_74,186,0,35,4207.7348066
29,8,29_8,163,0,27,4930.2721088
29,106,29_106,139,0,19,4693.9351198
29,39,29_39,127,0,21,5405.3156146
29,11,29_11,117,0,34,3363.7961335
29,12,29_12,116,0,40,4922.8915663
29,17,29_17,114,0,19,4688.6632826
29,1,29_1,106,0,24,4738.0191693
30,74,30_74,1579,1,28,3962.5425652
30,8,30_8,449,1,11,3389.0954151
30,98,30_98,378,1,13,2748.6398259
30,93,30_93,308,1,12,3985.1208928
30,106,30_106,286,0,10,4068.7066975
30,11,30_11,272,1,38,3335.2450469
30,17,30_17,255,1,31,3498.5931345
30,69,30_69,215,1,45,3033.0520394
30,110,30_110,199,0,47,2851.9031142
32,57,32_57,64,1,31,4277.1084337
32,38,32_38,59,0,17,3322.5806451
32,55,32_55,55,0,23,4928.8537549
32,78,32_78,46,0,19,3979.7979798
32,13,32_13,46,0,17,4892.7038627
32,53,32_53,42,0,24,2750.7507507
32,29,32_29,40,1,47,3752.6315789
32,34,32_34,35,1,37,3796.3800905
32,69,32_69,33,1,40,3373.2718894
33,17,33_17,968,0,43,3642.1943675
33,14,33_14,721,1,22,2389.8071626
33,65,33_65,556,1,26,3369.5771554
33,74,33_74,363,1,46,2788.29744
33,106,33_106,345,0,31,3738.6046511
33,46,33_46,196,1,27,2868.3274021
33,16,33_16,178,0,27,2838.6850153
33,102,33_102,173,0,47,2681.3186813
33,53,33_53,171,1,32,1977.4983455
36,120,36_120,174,0,37,2463.5811836
36,102,36_102,94,0,47,2854.5454545
36,65,36_65,77,1,41,2861.7771509
36,83,36_83,62,1,33,2622.0930232
36,57,36_57,60,0,18,3070.4607046
36,27,36_27,52,1,43,1689.849624
36,96,36_96,50,1,40,2614.1176471
36,26,36_26,43,1,38,2055.8035714
36,64,36_64,42,1,29,1923.4828496
37,28,37_28,469,1,46,2542.7621638
37,98,37_98,448,0,12,3063.6168692
37,41,37_41,340,0,17,2933.6283186
37,104,37_104,322,0,46,2460.3305785
37,21,37_21,257,0,15,2279.3814433
37,88,37_88,254,0,27,2625.1881586
37,51,37_51,187,0,28,2735.1627313
37,74,37_74,183,0,30,2216.5433759
37,19,37_19,173,0,31,2774.0986019
38,74,38_74,314,1,48,4080.407701
38,11,38_11,236,1,36,3434.3493552
38,1,38_1,140,0,47,3140.3269755
38,46,38_46,136,1,24,3572.327044
38,76,38_76,133,0,26,4005.2151239
38,8,38_8,129,0,46,3622.7810651
38,4,38_4,113,1,35,3260.8108108
38,82,38_82,108,1,45,3201.9774011
38,109,38_109,100,1,44,3650.9433962
39,11,39_11,527,0,37,3160.3161163
39,74,39_74,455,1,29,3373.2439336
39,46,39_46,332,1,17,4187.0460048
39,39,39_39,246,0,15,4161.5875266
39,25,39_25,192,0,41,3064.9966148
39,8,39_8,174,0,28,3577.5862069
39,17,39_17,161,1,46,3621.9963031
39,76,39_76,135,1,18,3602.0942408
39,34,39_34,133,0,46,4074.204947
40,11,40_11,151,0,42,3724.7311828
40,74,40_74,133,1,39,4607.9779918
40,17,40_17,120,0,46,4311.5646258
40,106,40_106,64,1,22,4768.0412371
40,46,40_46,58,0,40,4551.9713262
40,93,40_93,58,1,42,3204.2440318
40,104,40_104,57,1,24,3044.7058823
40,25,40_25,56,0,22,4555.1948052
40,39,40_39,52,0,48,4237.458194
41,104,41_104,71,0,49,2396.039604
41,53,41_53,56,0,24,2350.2109705
41,106,41_106,51,1,46,3847.4114441
41,65,41_65,46,0,48,2669.3333334
41,74,41_74,44,0,19,3858.1560284
41,25,41_25,44,1,18,3051.9877676
41,52,41_52,43,0,28,2203.7037037
41,101,41_101,41,0,31,2556.561086
41,33,41_33,40,0,49,3597.2222222
42,14,42_14,526,0,43,3173.7134573
42,74,42_74,449,1,49,3796.3594995
42,13,42_13,429,0,27,3596.7456668
42,17,42_17,371,0,20,3769.526741
42,39,42_39,352,1,48,3602.896007
42,46,42_46,325,0,42,3391.2346339
42,9,42_9,291,1,17,3617.6801802
42,2,42_2,286,0,38,2603.4031414
42,97,42_97,263,1,17,3669.6864111
43,74,43_74,1314,0,40,4383.2825285
43,11,43_11,994,0,44,3812.3644252
43,13,43_13,572,0,21,4649.0471053
43,17,43_17,295,1,19,3716.1862528
43,39,43_39,206,1,48,4291.4669224
43,76,43_76,188,1,36,3439.148073
43,46,43_46,184,1,43,3831.5789474
43,106,43_106,163,1,35,3840.0
43,65,43_65,152,0,32,3356.5891473
44,77,44_77,87,0,21,3947.761194
44,11,44_11,24,0,25,3000.0
44,48,44_48,23,1,16,2854.8387097
44,8,44_8,16,0,42,2860.2150538
44,14,44_14,15,0,12,2684.6153846
44,39,44_39,14,0,12,4714.2857143
44,7,44_7,14,1,17,3341.7721519
44,17,44_17,13,1,10,3012.0481928
44,33,44_33,13,0,28,2219.7802198
45,114,45_114,123,1,29,3537.7821394
45,36,45_36,93,1,29,5360.5150214
45,48,45_48,83,1,18,3895.3229399
45,44,45_44,78,1,27,4765.1162791
45,62,45_62,74,0,46,3371.1538462
45,60,45_60,70,1,21,3465.5963303
45,8,45_8,68,0,25,6599.2647059
45,13,45_13,60,1,46,4857.1428571
45,4,45_4,55,0,20,4547.4683544
47,74,47_74,301,1,14,4332.0388349
47,86,47_86,290,0,12,2797.5142413
47,7,47_7,226,0,39,3586.8945869
47,14,47_14,180,0,29,3052.4880709
47,91,47_91,151,1,24,2840.0
47,16,47_16,151,1,21,3575.0
47,64,47_64,146,0,16,3173.3333333
47,101,47_101,146,1,19,3313.5313531
47,11,47_11,132,0,38,3637.5176305
48,21,48_21,318,1,12,3733.6740488
48,88,48_88,276,0,26,3214.6478873
48,69,48_69,176,0,48,3285.5863921
48,104,48_104,169,0,33,2646.5730801
48,55,48_55,160,1,35,4088.4615385
48,93,48_93,156,0,31,4260.0
48,98,48_98,144,0,32,3408.9456869
48,28,48_28,143,1,34,3501.1520737
48,65,48_65,138,1,21,4108.0760095
49,11,49_11,425,1,12,3337.4366401
49,46,49_46,263,0,47,4564.1025641
49,17,49_17,201,1,11,3833.0745342
49,95,49_95,145,0,34,4548.3870968
49,1,49_1,133,1,10,3497.1751412
49,109,49_109,104,1,38,3952.9652352
49,48,49_48,100,1,16,4234.5132743
49,74,49_74,99,0,38,3845.2579035
49,72,49_72,93,0,37,4010.0806452
50,46,50_46,563,0,48,3880.2238806
50,59,50_59,424,0,35,2838.3256528
50,11,50_11,413,1,23,2456.6130161
50,34,50_34,379,1,35,3890.21043
50,73,50_73,362,0,30,3060.3889457
50,39,50_39,301,0,29,3419.1489362
50,82,50_82,249,0,28,2733.5834897
50,74,50_74,222,1,34,3531.4009662
50,4,50_4,192,1,34,3621.2847555
52,98,52_98,523,1,34,2935.6930559
52,110,52_110,475,0,47,3348.3001924
52,46,52_46,260,1,21,4014.3830431
52,106,52_106,243,1,33,4018.0843939
52,52,52_52,219,0,48,3357.5677462
52,25,52_25,164,0,20,2607.5533662
52,47,52_47,146,0,22,3476.8883878
52,8,52_8,146,1,48,3644.3883985
52,58,52_58,142,1,31,3284.7769029
53,107,53_107,353,1,35,2616.3358282
53,82,53_82,287,0,35,2245.7852706
53,62,53_62,281,1,16,2527.9060008
53,17,53_17,210,1,10,2956.8913175
53,105,53_105,188,1,34,1502.1037868
53,86,53_86,148,1,44,2179.1530945
53,74,53_74,139,1,10,2706.4393939
53,34,53_34,130,1,37,2673.0190572
53,27,53_27,128,1,20,1869.4869487
54,74,54_74,585,1,38,3605.5189715
54,4,54_4,487,1,24,3579.6070461
54,70,54_70,407,0,16,3250.6132461
54,98,54_98,297,1,41,3623.7980769
54,93,54_93,276,1,13,3794.0740741
54,21,54_21,266,1,38,3262.0176032
54,113,54_113,254,0,13,3731.1286844
54,76,54_76,239,0,22,3422.705314
54,17,54_17,217,0,12,3599.1348234
55,114,55_114,306,1,47,3445.3618262
55,62,55_62,295,1,24,3091.6905444
55,11,55_11,228,1,13,3086.662153
55,41,55_41,196,1,30,3966.9762642
55,18,55_18,189,1,32,4091.4158306
55,32,55_32,181,1,14,3567.9733111
55,14,55_14,179,0,30,2663.3941094
55,83,55_83,160,0,38,3099.5475113
55,97,55_97,151,1,15,2623.880597
56,8,56_8,289,0,49,3955.4419284
56,93,56_93,190,0,43,4645.2742123
56,11,56_11,186,0,37,3008.1566068
56,10,56_10,132,0,34,5489.5833333
56,9,56_9,127,1,37,3578.4695201
56,70,56_70,115,0,22,4310.5802048
56,104,56_104,104,1,34,2664.1975309
56,106,56_106,91,1,11,4691.68357
56,54,56_54,90,0,46,5106.442577
57,11,57_11,518,0,19,2842.5567239
57,1,57_1,503,1,20,3501.1798018
57,59,57_59,372,1,10,2402.5974026
57,76,57_76,334,0,15,3180.3108808
57,8,57_8,323,0,36,3260.3795967
57,70,57_70,263,0,49,3158.3596215
57,46,57_46,254,0,15,3024.8823134
57,7,57_7,210,1,36,2817.625459
57,95,57_95,198,1,26,3427.3743017
58,17,58_17,852,0,31,4106.0325996
58,10,58_10,611,1,34,4702.4209818
58,93,58_93,536,1,29,3451.212938
58,74,58_74,379,0,31,3955.0797649
58,46,58_46,239,1,40,3670.0434154
58,11,58_11,220,1,18,2790.7396272
58,8,58_8,211,0,36,3062.3167156
58,41,58_41,169,0,45,2931.6389133
58,69,58_69,159,0,14,2617.9321486
59,34,59_34,552,0,46,3380.6050783
59,74,59_74,363,0,35,3252.2783761
59,82,59_82,340,1,16,2403.8540385
59,13,59_13,292,1,10,3179.5231416
59,23,59_23,287,1,33,3477.0378875
59,44,59_44,264,1,44,4100.0
59,10,59_10,259,1,21,4216.7530225
59,46,59_46,247,1,36,3486.0639021
59,106,59_106,241,0,48,3666.8887409
60,1,60_1,206,1,37,7659.2292089
60,109,60_109,194,0,14,5397.1631205
60,89,60_89,128,0,11,7142.8571429
60,44,60_44,111,1,44,5185.8407079
60,48,60_48,92,1,22,4413.2653061
60,69,60_69,92,0,37,2351.3097072
60,94,60_94,85,1,17,5179.1530945
60,46,60_46,80,0,36,5547.0383275
60,76,60_76,70,0,38,4961.7834395
61,57,61_57,460,0,14,2662.9169899
61,106,61_106,176,1,43,4074.5033113
61,87,61_87,145,1,46,2268.4124386
61,93,61_93,126,1,27,3582.7633379
61,71,61_71,107,1,47,2468.75
61,3,61_3,77,1,33,2461.3899614
61,18,61_18,58,0,14,3496.5986395
61,31,61_31,46,1,43,2406.4516129
61,88,61_88,42,0,38,2274.0524781
62,107,62_107,134,0,27,3041.3870246
62,76,62_76,128,0,49,3551.4612452
62,41,62_41,99,1,13,3715.6862745
62,23,62_23,76,0,14,3366.3366337
62,13,62_13,69,0,22,3295.0
62,66,62_66,68,1,24,2901.2345679
62,69,62_69,65,0,25,2748.2993197
62,32,62_32,62,0,40,2766.4543524
62,62,62_62,58,1,17,3321.5130024
63,74,63_74,808,1,43,3883.8546458
63,107,63_107,707,0,14,2751.6716196
63,9,63_9,337,1,10,4497.3856209
63,13,63_13,307,0,28,4401.4039566
63,11,63_11,297,1,34,3322.9594833
63,14,63_14,255,0,31,2301.1764706
63,106,63_106,213,0,44,4783.3500502
63,46,63_46,207,0,27,3767.6130389
63,100,63_100,190,1,31,2659.9443672
65,46,65_46,1131,1,37,3667.0946442
65,74,65_74,1003,0,35,3317.72818
65,11,65_11,595,1,47,2968.5444667
65,17,65_17,242,0,23,3507.8571429
65,14,65_14,196,1,35,2637.654321
65,9,65_9,180,0,49,3324.570273
65,6,65_6,170,1,35,3080.4988662
65,13,65_13,160,1,48,2917.7330896
65,35,65_35,156,0,11,3399.3576017
67,74,67_74,664,0,47,3751.7985612
67,34,67_34,608,1,24,4338.3694413
67,11,67_11,555,1,26,2984.8942598
67,17,67_17,374,0,29,3384.253819
67,9,67_9,200,0,29,2955.8935361
67,46,67_46,199,1,21,3292.3976608
67,82,67_82,199,1,23,2846.3338533
67,97,67_97,173,0,41,3101.8078021
67,13,67_13,169,1,16,3333.0598852
68,62,68_62,2144,0,48,3111.2270178
68,93,68_93,339,1,49,3071.5268226
68,63,68_63,291,1,19,3316.7082294
68,84,68_84,233,1,29,2458.8452088
68,14,68_14,197,0,13,1964.3402955
68,86,68_86,160,1,47,2002.1994135
68,30,68_30,149,1,41,1997.7186312
68,50,68_50,145,0,34,1711.3402062
68,88,68_88,119,1,17,2857.7827548
69,74,69_74,289,0,38,3100.148002
69,93,69_93,241,0,43,3660.0920447
69,17,69_17,238,1,33,3289.3642306
69,107,69_107,146,1,34,2902.417962
69,7,69_7,142,0,33,3302.1806853
69,106,69_106,135,0,33,3923.4828496
69,2,69_2,131,0,20,2673.6441484
69,98,69_98,127,0,30,3038.3386581
69,73,69_73,120,0,44,3195.1219512
70,62,70_62,422,1,26,2687.9157428
70,101,70_101,392,1,28,2505.6920311
70,88,70_88,320,1,33,2375.6925208
70,3,70_3,132,0,20,2313.7254902
70,87,70_87,110,1,32,2314.4774688
70,75,70_75,107,0,24,2180.0720288
70,8,70_8,78,0,28,2191.0112359
70,108,70_108,56,1,47,2156.9892473
70,104,70_104,52,1,47,1786.6666667
71,76,71_76,128,1,21,3927.7286136
71,74,71_74,113,0,47,4554.8060708
71,39,71_39,107,0,44,5656.3876652
71,17,71_17,84,1,18,4251.0460251
71,106,71_106,79,1,19,4417.721519
71,1,71_1,65,1,27,4319.0661478
71,8,71_8,61,1,18,4285.2564102
71,63,71_63,54,0,23,5106.3829787
71,12,71_12,49,1,26,5419.6891192
75,76,75_76,657,1,31,3815.5749227
75,36,75_36,507,1,13,3857.8646009
75,17,75_17,423,1,29,3450.6683641
75,35,75_35,308,0,41,3779.2929293
75,8,75_8,291,0,38,3952.0400859
75,14,75_14,284,1,13,2536.3673303
75,11,75_11,229,1,29,2985.3211009
75,45,75_45,210,0,18,2779.4404684
75,6,75_6,180,1,14,3470.4743465
76,17,76_17,199,0,21,3328.9986996
76,39,76_39,190,0,28,3628.9256199
76,11,76_11,102,0,36,2917.0182841
76,21,76_21,52,1,31,2727.0029673
76,49,76_49,46,1,10,3139.6226415
76,71,76_71,29,1,25,1891.6408669
76,9,76_9,29,1,45,2541.4364641
76,1,76_1,22,0,32,2894.2307692
76,76,76_76,19,0,15,2787.6106194
78,104,78_104,209,0,10,2917.8707224
78,13,78_13,183,0,24,3439.9243141
78,57,78_57,178,1,13,3226.744186
78,39,78_39,131,0,48,3455.8629776
78,102,78_102,104,0,41,2768.0339462
78,2,78_2,103,1,29,2646.3245492
78,63,78_63,83,0,21,4473.4513275
78,33,78_33,76,0,15,3297.4358974
78,58,78_58,70,1,47,3445.7478006
79,107,79_107,235,0,47,3400.8042896
79,14,79_14,141,0,35,2446.2025316
79,16,79_16,135,0,20,2878.5557987
79,114,79_114,96,1,39,3408.4507042
79,3,79_3,94,1,14,2515.6695157
79,111,79_111,90,1,19,2966.8325041
79,27,79_27,89,1,27,2053.6451169
79,51,79_51,87,1,40,3096.9899665
79,23,79_23,83,1,22,3162.5441696
80,59,80_59,118,1,18,3097.412481
80,1,80_1,88,1,31,4981.4814815
80,98,80_98,75,0,46,2906.7460317
80,36,80_36,60,1,14,2674.7252747
80,38,80_38,45,0,40,2673.9130435
80,16,80_16,42,0,13,2973.5973597
80,93,80_93,41,0,49,5037.2670807
80,77,80_77,41,0,13,7526.3157894
80,8,80_8,37,1,32,3464.6464646
81,30,81_30,144,1,19,2111.2115732
81,107,81_107,132,0,12,2530.3678357
81,17,81_17,126,0,33,3489.7074756
81,53,81_53,116,0,32,1955.8652729
81,25,81_25,110,1,46,2109.7826087
81,5,81_5,104,0,22,2054.5023697
81,8,81_8,99,0,25,3736.9402985
81,41,81_41,96,1,26,2947.6268413
81,62,81_62,95,0,33,2575.0750751
82,86,82_86,438,1,22,2544.5798589
82,26,82_26,351,1,45,2132.1961621
82,87,82_87,258,0,27,3277.8119238
82,74,82_74,222,1,42,3003.2341526
82,62,82_62,181,1,48,2813.5326515
82,100,82_100,177,0,35,2755.6657224
82,106,82_106,162,0,26,4209.4188377
82,23,82_23,144,0,32,3208.3333333
82,107,82_107,134,1,14,2489.5920067
84,74,84_74,743,1,32,3236.7389061
84,14,84_14,601,1,17,2045.1812124
84,93,84_93,551,1,22,4414.8854962
84,17,84_17,350,1,36,3801.8348624
84,41,84_41,339,0,11,3633.0852891
84,46,84_46,333,0,21,3390.8794788
84,73,84_73,240,0,31,2835.3096179
84,106,84_106,228,1,37,3518.8547486
84,18,84_18,220,0,34,4315.6146179
86,34,86_34,340,1,17,3937.8032642
86,9,86_9,281,0,15,3882.3529412
86,53,86_53,254,1,37,2512.9682997
86,11,86_11,212,1,28,3327.6474769
86,48,86_48,202,1,49,3919.5402299
86,106,86_106,184,1,46,4753.1194296
86,73,86_73,178,1,41,3267.2176309
86,17,86_17,174,0,20,3629.0849673
86,39,86_39,170,1,30,3951.0676156
87,73,87_73,251,0,28,3164.6727656
87,56,87_56,177,1,16,3455.0958628
87,74,87_74,118,1,39,3274.0740741
87,106,87_106,110,0,47,3316.14654
87,21,87_21,105,1,36,2668.7898089
87,11,87_11,101,0,12,2429.8701299
87,105,87_105,89,0,29,2746.4114833
87,100,87_100,84,0,41,2653.5947713
87,8,87_8,79,1,27,3591.9395466
88,1,88_1,477,0,36,3421.8669417
88,8,88_8,427,0,18,3614.9283243
88,93,88_93,313,0,13,3615.942029
88,10,88_10,254,1,20,3759.6244132
88,113,88_113,228,0,34,2684.8484849
88,106,88_106,221,1,40,3778.6589762
88,74,88_74,184,1,32,3115.6222418
88,76,88_76,161,0,18,3152.7777777
88,48,88_48,157,0,24,3548.6018641
90,86,90_86,268,0,41,2620.1089648
90,46,90_46,231,1,12,4145.8670989
90,71,90_71,196,1,13,3077.970297
90,84,90_84,172,1,14,2800.0
90,107,90_107,162,1,19,2769.9836868
90,26,90_26,153,1,30,1820.9876543
90,88,90_88,147,1,12,2874.4142455
90,106,90_106,139,0,40,4399.0929705
90,85,90_85,127,0,33,3540.1459854
91,107,91_107,383,1,17,2941.3153457
91,68,91_68,221,1,22,3172.9986432
91,101,91_101,218,0,11,2741.7218543
91,34,91_34,175,1,12,4836.506159
91,86,91_86,161,0,47,2739.6616541
91,14,91_14,136,0,35,2570.2811245
91,84,91_84,84,0,23,2859.437751
91,25,91_25,84,0,41,2659.9664992
91,79,91_79,82,0,13,2575.5395683
92,13,92_13,647,1,40,5025.4291163
92,14,92_14,569,1,17,3375.5974843
92,9,92_9,495,0,19,3468.3908046
92,41,92_41,410,0,49,3603.3621082
92,51,92_51,354,1,14,3413.6460554
92,3,92_3,247,0,36,3295.9522229
92,97,92_97,195,1,38,3295.7042957
92,22,92_22,179,1,27,5319.0529876
92,28,92_28,174,0,11,3492.7083333
93,80,93_80,967,0,25,4460.6913429
93,8,93_8,310,0,37,4223.0828815
93,106,93_106,303,1,38,4564.3370347
93,43,93_43,281,0,47,3698.3075791
93,74,93_74,251,1,49,3922.3443223
93,11,93_11,216,0,31,2851.9593614
93,25,93_25,215,0,36,2985.5595668
93,28,93_28,208,1,13,2946.2450593
93,93,93_93,191,1,27,3785.7847976
94,105,94_105,362,0,31,1792.7548441
94,77,94_77,306,0,23,3741.8065548
94,11,94_11,212,0,45,3158.9506173
94,7,94_7,190,1,17,2899.2568126
94,107,94_107,178,1,37,2814.0267927
94,80,94_80,175,1,45,2880.0
94,28,94_28,167,0,47,3041.536864
94,62,94_62,166,1,37,3382.4975418
94,8,94_8,157,0,46,3427.8728606
95,74,95_74,649,1,28,4339.6958913
95,107,95_107,580,0,16,3464.697609
95,14,95_14,256,1,10,3261.0340479
95,62,95_62,245,0,10,3597.5103735
95,71,95_71,211,0,22,3569.5858792
95,9,95_9,200,0,47,3991.9678715
95,98,95_98,176,1,26,3073.4732824
95,53,95_53,170,1,38,3898.6636971
95,54,95_54,160,0,22,4276.96793
